High School,TEA ID,2024 College Enrollment Level,2024 College Enrollment %
Creekview High School,57903006,2YR,0.256997455
Early College High School at Brookhaven,57903010,2YR,0.126582278
Newman Smith High School,57903002,2YR,0.306382979
R. L. Turner High School,57903001,2YR,0.340517241
Ranchview High School,57903007,2YR,0.331818182
Cedar Hill Collegiate High School,57904003,2YR,0.134831461
Cedar Hill High School,57904001,2YR,0.16008316
BARACK OBAMA MALE LEADERSHIP ACADEMY AT A MACEO SMITH,57905381,2YR,0.153846154
BOOKER T. WASHINGTON HIGH SCHOOL FOR THE ARTS,57905034,2YR,0.129707113
BRYAN ADAMS HIGH SCHOOL LEADERSHIP ACADEMY,57905001,2YR,0.253012048
CITYLAB HIGH SCHOOL,57905383,2YR,0.208333333
DAVID W. CARTER HIGH SCHOOL,57905023,2YR,0.068965517
DR FREDERICK D. HAYNES III GLOBAL PREPARATORY ACADEMY AT PAUL QUINN*,57905388,2YR,n/a
DR L.G. PINKSTON SR HIGH SCHOOL,57905012,2YR,0.198412698
EMMETT J. CONRAD HIGH SCHOOL,57905028,2YR,0.187725632
FRANKLIN D. ROOSEVELT HIGH SCHOOL OF INNOVATION,57905013,2YR,0.132450331
H. GRADY SPRUCE HIGH SCHOOL,57905017,2YR,0.196721311
HILLCREST HIGH SCHOOL,57905006,2YR,0.197707736
"INNOVATION, DESIGN, ENTREPRENEURSHIP ACADEMY AT J.W. FANNIN",57905382,2YR,0.23255814
IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,57905035,2YR,n/a
JAMES MADISON HIGH SCHOOL,57905032,2YR,0.111111111
JUDGE BAREFOOT SANDERS LAW MAGNET,57905038,2YR,0.126126126
JUSTIN F. KIMBALL HIGH SCHOOL,57905008,2YR,0.179916318
KATHLYN J. GILLIAM COLLEGIATE ACADEMY,57905085,2YR,0.081081081
LINCOLN HIGH SCHOOL,57905009,2YR,0.105263158
MARVIN E. ROBINSON SCHOOL OF BUSINESS AND MANAGEMENT AT TOWNVIEW,57905033,2YR,0.201834862
MOISES E. MOLINA HIGH SCHOOL,57905005,2YR,0.283185841
NEW TECH HIGH SCHOOL AT B.F. DARRELL,57905003,2YR,0.191666667
NORTH DALLAS HIGH SCHOOL,57905024,2YR,0.1375
NORTH LAKE EARLY COLLEGE HIGH SCHOOL,57905387,2YR,0.04
ROSIE M. COLLINS SORRELLS SCHOOL OF EDUCATION & SOCIAL SERVICES,57905037,2YR,0.210526316
SCHOOL FOR THE TALENTED & GIFTED AT TOWNVIEW,57905039,2YR,0.075630252
SCHOOL OF HEALTH PROFESSIONS AT TOWNVIEW,57905036,2YR,0.196581197
SCHOOL OF SCIENCE & ENGINEERING AT TOWNVIEW,57905026,2YR,0.064814815
SEAGOVILLE HIGH SCHOOL,57905015,2YR,0.190769231
SKYLINE HIGH SCHOOL,57905025,2YR,0.261744966
SOUTH OAK CLIFF HIGH SCHOOL,57905016,2YR,0.106312292
SUNSET HIGH SCHOOL,57905018,2YR,0.22826087
THOMAS JEFFERSON HIGH SCHOOL,57905007,2YR,0.134615385
TRINIDAD GARZA EARLY COLLEGE HIGH SCHOOL,57905088,2YR,0.09
W.H. ADAMSON HIGH SCHOOL,57905002,2YR,0.224489796
"W.L. LASSITER, JR. EARLY COLLEGE HIGH SCHOOL AT EL CENTRO COLLEGE",57905090,2YR,0.2
W.T. WHITE HIGH SCHOOL,57905021,2YR,0.17961165
W.W. SAMUELL HIGH SCHOOL,57905014,2YR,0.214634146
WILMER-HUTCHINS HIGH SCHOOL,57905380,2YR,0.180904523
WOODROW WILSON HIGH SCHOOL,57905022,2YR,0.212041885
DeSoto High School,57906001,2YR,0.138702461
Duncanville High School,57907001,2YR,0.165517241
Mary E. Smithey Pace High School,57907004,2YR,0
Garland High School,57909002,2YR,0.242063492
Lakeview Centennial High School,57909005,2YR,0.250497018
Naaman Forest High School,57909008,2YR,0.235051546
North Garland High School,57909004,2YR,0.3024
Rowlett High School,57909009,2YR,0.200750469
Sachse High School,57909010,2YR,0.312989045
South Garland High School,57909003,2YR,0.257606491
Crosswinds High School,57910009,2YR,0.095768374
Dubiski Career High School,57910010,2YR,0.329376855
Grand Prairie Fine Arts Academy,57910001,2YR,n/a
Grand Prairie High School,57910002,2YR,0.29245283
South Grand Prairie High School,57910003,2YR,0.299019608
Irving High School,57912002,2YR,0.327302632
Jack E. Singley Academy,57912006,2YR,0.305714286
MacArthur High School,57912003,2YR,0.31372549
Nimitz High School,57912004,2YR,0.313974592
KIPP Oak Cliff Academy,227820030,2YR,n/a
KIPP Pleasant Grove Leadership Academy,227820073,2YR,n/a
Lancaster High School,57913001,2YR,0.157389635
Horn High School,57914005,2YR,0.207751938
Mesquite High School,57914001,2YR,0.244444444
North Mesquite High School,57914002,2YR,0.35520362
Poteet High School,57914004,2YR,0.312849162
Vanguard High School,57914006,2YR,0.393081761
West Mesquite High School,57914003,2YR,0.37012987
Berkner High School,57916005,2YR,0.294605809
J.J. Pearce High School,57916004,2YR,0.174418605
Lake Highlands High School,57916002,2YR,0.223140496
Richardson High School,57916003,2YR,0.264984227
Uplift Atlas Preparatory,57803010,2YR,0.4
Uplift Grand Preparatory,57803016,2YR,0.285714286
Uplift Hampton Preparatory,57803007,2YR,0.1625
Uplift Heights Preparatory,57803006,2YR,0.444444444
Uplift Infinity Preparatory,57803013,2YR,0.269230769
Uplift Luna Preparatory,57803005,2YR,0.268817204
Uplift North Hills Preparatory,57803002,2YR,0.108333333
Uplift Williams Preparatory,57803004,2YR,0.251655629
Uplift Wisdom Preparatory,57803019,2YR,0.139240506
Creekview High School,57903006,4YR,0.351145038
Early College High School at Brookhaven,57903010,4YR,0.594936709
Newman Smith High School,57903002,4YR,0.259574468
R. L. Turner High School,57903001,4YR,0.219827586
Ranchview High School,57903007,4YR,0.331818182
Cedar Hill Collegiate High School,57904003,4YR,0.752808989
Cedar Hill High School,57904001,4YR,0.446985447
BARACK OBAMA MALE LEADERSHIP ACADEMY AT A MACEO SMITH,57905381,4YR,0.666666667
BOOKER T. WASHINGTON HIGH SCHOOL FOR THE ARTS,57905034,4YR,0.707112971
BRYAN ADAMS HIGH SCHOOL LEADERSHIP ACADEMY,57905001,4YR,0.305220884
CITYLAB HIGH SCHOOL,57905383,4YR,0.375
DAVID W. CARTER HIGH SCHOOL,57905023,4YR,0.254310345
DR FREDERICK D. HAYNES III GLOBAL PREPARATORY ACADEMY AT PAUL QUINN*,57905388,4YR,n/a
DR L.G. PINKSTON SR HIGH SCHOOL,57905012,4YR,0.26984127
EMMETT J. CONRAD HIGH SCHOOL,57905028,4YR,0.241877256
FRANKLIN D. ROOSEVELT HIGH SCHOOL OF INNOVATION,57905013,4YR,0.165562914
H. GRADY SPRUCE HIGH SCHOOL,57905017,4YR,0.170491803
HILLCREST HIGH SCHOOL,57905006,4YR,0.41260745
"INNOVATION, DESIGN, ENTREPRENEURSHIP ACADEMY AT J.W. FANNIN",57905382,4YR,0.279069767
IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,57905035,4YR,n/a
JAMES MADISON HIGH SCHOOL,57905032,4YR,0.283950617
JUDGE BAREFOOT SANDERS LAW MAGNET,57905038,4YR,0.675675676
JUSTIN F. KIMBALL HIGH SCHOOL,57905008,4YR,0.20083682
KATHLYN J. GILLIAM COLLEGIATE ACADEMY,57905085,4YR,0.743243243
LINCOLN HIGH SCHOOL,57905009,4YR,0.230263158
MARVIN E. ROBINSON SCHOOL OF BUSINESS AND MANAGEMENT AT TOWNVIEW,57905033,4YR,0.495412844
MOISES E. MOLINA HIGH SCHOOL,57905005,4YR,0.221238938
NEW TECH HIGH SCHOOL AT B.F. DARRELL,57905003,4YR,0.266666667
NORTH DALLAS HIGH SCHOOL,57905024,4YR,0.329166667
NORTH LAKE EARLY COLLEGE HIGH SCHOOL,57905387,4YR,0.76
ROSIE M. COLLINS SORRELLS SCHOOL OF EDUCATION & SOCIAL SERVICES,57905037,4YR,0.657894737
SCHOOL FOR THE TALENTED & GIFTED AT TOWNVIEW,57905039,4YR,0.848739496
SCHOOL OF HEALTH PROFESSIONS AT TOWNVIEW,57905036,4YR,0.512820513
SCHOOL OF SCIENCE & ENGINEERING AT TOWNVIEW,57905026,4YR,0.87037037
SEAGOVILLE HIGH SCHOOL,57905015,4YR,0.169230769
SKYLINE HIGH SCHOOL,57905025,4YR,0.248322148
SOUTH OAK CLIFF HIGH SCHOOL,57905016,4YR,0.265780731
SUNSET HIGH SCHOOL,57905018,4YR,0.260869565
THOMAS JEFFERSON HIGH SCHOOL,57905007,4YR,0.188461538
TRINIDAD GARZA EARLY COLLEGE HIGH SCHOOL,57905088,4YR,0.78
